,card_number,expiry_date,card_provider,date_payment_confirmed,card_number expiry_date,Unnamed: 0
34,4529390944325970.0,08/23,VISA 16 digit,2009-04-15,,
35,60485138139.0,08/27,Maestro,2022-11-18,,
36,4243023678099.0,02/23,VISA 13 digit,2021-07-05,,
37,4.97605833183047e+18,08/26,VISA 19 digit,2021-09-29,,
38,4224188732297920.0,02/24,VISA 16 digit,1997-10-26,,
39,3514396157366920.0,03/29,JCB 16 digit,2004-11-06,,
40,30158747323244.0,06/25,Diners Club / Carte Blanche,1998-02-04,,
41,3590999821623690.0,07/30,JCB 16 digit,2002-01-14,,
42,60457486839.0,07/27,Maestro,2006-12-31,,
43,4934170565606.0,08/26,VISA 13 digit,2008-10-10,,
44,36125643138236.0,06/24,Diners Club / Carte Blanche,1999-03-16,,
45,4499574398661660.0,01/24,VISA 16 digit,2016-08-07,,
46,30079697561056.0,07/23,Diners Club / Carte Blanche,2000-08-15,,
47,3569354729407150.0,06/31,JCB 16 digit,1997-04-18,,
48,213139697145299.0,03/24,JCB 15 digit,2010-03-01,,
49,676119752563.0,02/25,Maestro,1995-07-22,,
50,4.92354589675858e+18,01/23,VISA 19 digit,2017-08-15,,
51,4145489239111500.0,02/30,VISA 16 digit,2018-08-31,,
52,4131871381315060.0,03/27,VISA 16 digit,2007-07-30,,
53,4850248250585.0,07/26,VISA 13 digit,1995-12-18,,
54,676231685725.0,09/25,Maestro,1998-01-30,,
0,372498568017103.0,07/28,American Express,2009-10-28,,
1,4108484730579010.0,03/28,VISA 16 digit,1994-08-21,,
2,676293500408.0,08/24,Maestro,1993-10-26,,
3,581681339767.0,06/29,Maestro,1998-08-03,,
4,180083117707156.0,06/30,JCB 15 digit,2012-01-11,,
5,213185617039336.0,04/23,JCB 15 digit,2005-03-28,,
6,180038452399167.0,09/27,JCB 15 digit,1999-11-04,,
7,213148437331713.0,06/28,JCB 15 digit,2004-02-11,,
8,6011852840796870.0,12/29,Discover,2020-10-14,,
9,6011662146447830.0,09/32,Discover,2013-04-22,,
10,375909252165187.0,03/23,American Express,2005-10-07,,
11,30095105471035.0,07/31,Diners Club / Carte Blanche,2014-10-09,,
12,3584417008059140.0,05/27,JCB 16 digit,1993-05-09,,
13,2244978562790820.0,10/29,Mastercard,2007-02-12,,
14,4027528338006.0,04/28,VISA 13 digit,2013-05-30,,
15,30425667828100.0,05/26,Diners Club / Carte Blanche,2008-07-03,,
16,2244479907474760.0,04/32,Mastercard,1995-04-27,,
17,3570781166096810.0,04/23,JCB 16 digit,2000-12-27,,
18,2310820813218710.0,07/32,Mastercard,1994-07-23,,
19,4.72546319110612e+18,05/30,VISA 19 digit,2021-07-17,,
20,4319742178425770.0,10/24,VISA 16 digit,1998-11-06,,
21,4466560959453.0,01/32,VISA 13 digit,1998-03-16,,
22,30180112075555.0,10/24,Diners Club / Carte Blanche,1998-02-06,,
23,3517948043479210.0,03/29,JCB 16 digit,2008-10-10,,
24,3575217498720440.0,11/26,JCB 16 digit,2013-09-10,,
25,4588947128070.0,02/28,VISA 13 digit,2003-10-27,,
26,6550095846760120.0,02/29,Discover,2013-10-19,,
27,36021639286396.0,08/25,Diners Club / Carte Blanche,2003-11-12,,
28,6506115570116190.0,02/31,Discover,2018-06-23,,
29,346534852323501.0,12/22,American Express,2017-12-28,,
30,4.17760110794494e+18,08/25,VISA 19 digit,2010-07-28,,
31,4749402420184460.0,07/29,VISA 16 digit,2018-04-15,,
32,4838743717197410.0,07/25,VISA 16 digit,2016-11-17,,
33,3503307442630630.0,02/25,JCB 16 digit,1996-12-10,,
34,575350944766.0,03/28,Maestro,2021-06-11,,
35,4639809799549920.0,05/31,VISA 16 digit,2018-08-16,,
36,4005849178483.0,04/24,VISA 13 digit,2017-02-03,,
37,4764497710814640.0,05/25,VISA 16 digit,1999-05-03,,
38,3517287513574020.0,06/32,JCB 16 digit,1993-03-25,,
39,3507036246815300.0,05/32,JCB 16 digit,2003-12-03,,
40,347225500075101.0,04/28,American Express,2009-11-20,,
41,3504582964063800.0,07/24,JCB 16 digit,1996-06-22,,
42,6547615342880760.0,12/27,Discover,2009-03-05,,
43,4.53761635900903e+18,09/31,VISA 19 digit,1994-10-19,,
44,2294060415437190.0,01/31,Mastercard,1995-10-15,,
45,3588368762770770.0,06/24,JCB 16 digit,2006-02-19,,
46,6524192031219120.0,01/29,Discover,2019-03-23,,
47,180041071434092.0,05/30,JCB 15 digit,2010-04-05,,
48,213159098807313.0,11/25,JCB 15 digit,2020-05-21,,
49,3511659845316830.0,12/28,JCB 16 digit,2004-09-23,,
50,30591165864887.0,10/27,Diners Club / Carte Blanche,1993-01-09,,
51,3566624359220790.0,03/26,JCB 16 digit,2015-01-28,,
52,4.4696150602393e+18,03/31,VISA 19 digit,2006-09-18,,
53,374589179576988.0,04/31,American Express,2018-03-07,,
54,180080246803229.0,05/28,JCB 15 digit,2020-12-05,,
0,4145662949755970.0,10/25,VISA 16 digit,2019-01-30,,
1,4150158657691.0,05/32,VISA 13 digit,2002-07-08,,
2,3583218047699840.0,06/32,JCB 16 digit,2004-11-04,,
3,6011887212979720.0,07/29,Discover,1996-04-05,,
4,6011592595426290.0,05/26,Discover,1993-04-27,,
5,213164174481249.0,08/29,JCB 15 digit,2020-04-22,,
6,6521667118670950.0,01/28,Discover,2008-12-04,,
7,2274876960738170.0,09/30,Mastercard,2000-06-26,,
8,6575242255783560.0,02/24,Discover,2020-01-09,,
9,4.617848619884831e+18,03/31,VISA 19 digit,1998-10-01,,
10,4546958607493620.0,05/28,VISA 16 digit,1993-05-11,,
11,4671576682730.0,10/25,VISA 13 digit,2000-06-22,,
12,4009798496502850.0,10/23,VISA 16 digit,2019-01-22,,
13,30043592114296.0,04/27,Diners Club / Carte Blanche,1993-09-27,,
14,3534672147045390.0,01/23,JCB 16 digit,2007-04-13,,
15,4.4667289256897295e+18,01/31,VISA 19 digit,2008-04-20,,
16,4.54030881629322e+18,02/32,VISA 19 digit,2009-12-31,,
17,564128564718.0,08/28,Maestro,2012-03-05,,
18,344884797663251.0,06/30,American Express,2004-04-10,,
19,3509093146400700.0,05/26,JCB 16 digit,2009-07-08,,
20,6011369698621020.0,04/29,Discover,2008-01-15,,
21,4264610789837620.0,04/24,VISA 16 digit,2021-08-26,,
22,180015756135190.0,03/31,JCB 15 digit,2006-01-28,,
23,3503542374654200.0,08/28,JCB 16 digit,2000-11-19,,
24,4158723133970670.0,05/25,VISA 16 digit,1999-03-15,,
25,4338477003933360.0,02/32,VISA 16 digit,2013-04-24,,
26,564984589809.0,08/30,Maestro,2005-02-28,,
27,4350714812589620.0,10/24,VISA 16 digit,2012-02-26,,
28,6537258455501990.0,01/23,Discover,2005-05-10,,
29,6520005527716070.0,12/22,Discover,2020-01-04,,
30,4092454363906180.0,12/23,VISA 16 digit,2016-08-09,,
31,3555499065337720.0,11/29,JCB 16 digit,2007-09-05,,
32,213133430820417.0,07/23,JCB 15 digit,2004-03-30,,
33,30382459793101.0,10/28,Diners Club / Carte Blanche,2013-05-12,,
34,60111111913046.0,09/23,Discover,1996-01-28,,
35,675964295934.0,09/27,Maestro,1996-05-26,,
36,6580954508196020.0,10/25,Discover,2000-03-03,,
37,379544388859480.0,05/31,American Express,2001-11-14,,
38,639051308133.0,02/31,Maestro,2012-04-08,,
40,676197624627.0,07/31,Maestro,2015-04-03,,
41,30436408634905.0,09/29,Diners Club / Carte Blanche,1994-02-28,,
42,30366098644395.0,09/28,Diners Club / Carte Blanche,2005-09-07,,
43,4507220961742.0,02/24,VISA 13 digit,2020-08-16,,
44,30240385709155.0,10/25,Diners Club / Carte Blanche,2014-08-23,,
45,4.5111098561385e+18,09/32,VISA 19 digit,2002-08-26,,
46,3562364872068970.0,01/27,JCB 16 digit,1996-08-31,,
48,3550482967595170.0,05/24,JCB 16 digit,2020-02-28,,
49,30092025361172.0,08/31,Diners Club / Carte Blanche,2015-05-17,,
50,371842803993779.0,03/29,American Express,2002-12-10,,
51,3520167590602520.0,03/24,JCB 16 digit,2016-08-29,,
52,375231530935095.0,04/28,American Express,2003-05-11,,
53,30022003678867.0,07/29,Diners Club / Carte Blanche,2002-10-22,,
54,38586217093206.0,09/27,Diners Club / Carte Blanche,2007-01-10,,
0,4156466200099530.0,03/25,VISA 16 digit,1994-12-03,,
1,2709712362628980.0,11/23,Mastercard,2008-02-10,,
2,4945065482962.0,02/24,VISA 13 digit,2021-12-10,,
3,213158086066411.0,07/28,JCB 15 digit,2002-03-06,,
4,6011032421324050.0,08/26,Discover,1999-04-30,,
5,4.29802489910847e+18,04/31,VISA 19 digit,1997-08-31,,
6,4.72893441756848e+18,11/24,VISA 19 digit,2018-08-29,,
7,630438408647.0,06/32,Maestro,2006-02-05,,
8,3570908580178970.0,10/28,JCB 16 digit,2019-11-17,,
9,4.77876013797274e+18,03/28,VISA 19 digit,2019-06-11,,
10,675928862621.0,08/23,Maestro,2021-06-20,,
11,60473404063.0,11/25,Maestro,2013-09-12,,
12,343307985261408.0,04/30,American Express,2001-03-19,,
13,4776353838549180.0,09/24,VISA 16 digit,2011-05-09,,
14,377784217735418.0,08/23,American Express,2000-07-08,,
15,4.63955937281752e+18,05/25,VISA 19 digit,1995-11-30,,
16,4504415059883120.0,12/22,VISA 16 digit,2016-08-10,,
17,4809527881527350.0,03/28,VISA 16 digit,2007-09-20,,
18,30032904153787.0,02/28,Diners Club / Carte Blanche,1995-07-10,,
19,347336829249242.0,09/31,American Express,2014-09-18,,
20,342967169493241.0,01/30,American Express,2020-12-31,,
21,4219454000722.0,04/26,VISA 13 digit,2004-02-28,,
22,213104518066124.0,03/24,JCB 15 digit,1999-03-15,,
23,4622128589055.0,12/26,VISA 13 digit,1993-09-14,,
24,371936944317946.0,11/31,American Express,2009-01-29,,
25,4791469107393050.0,07/23,VISA 16 digit,2018-08-29,,
26,675950413236.0,07/28,Maestro,2012-07-24,,
27,4679538137016.0,03/23,VISA 13 digit,1993-07-24,,
28,4693033113026.0,10/27,VISA 13 digit,2010-10-11,,
29,501881998865.0,12/30,Maestro,2020-09-06,,
30,3590545776519630.0,10/26,JCB 16 digit,2001-02-14,,
31,4612812527008.0,03/27,VISA 13 digit,1999-05-02,,
32,3550239488250870.0,04/25,JCB 16 digit,2008-02-29,,
33,630433686932.0,12/31,Maestro,1993-03-21,,
34,4990470214162050.0,08/32,VISA 16 digit,2017-12-12,,
35,2274754309791240.0,05/28,Mastercard,1996-07-29,,
36,4.2280536755692e+18,11/23,VISA 19 digit,2021-04-15,,
37,3599749538452090.0,11/24,JCB 16 digit,2019-12-16,,
38,4488752580176320.0,07/29,VISA 16 digit,2000-12-13,,
39,30194742669430.0,03/30,Diners Club / Carte Blanche,2002-11-19,,
40,213182755398418.0,11/29,JCB 15 digit,2019-07-19,,
41,349727483353734.0,02/23,American Express,2013-02-06,,
42,568855182685.0,06/30,Maestro,2020-09-11,,
43,6011088301581580.0,11/30,Discover,2014-04-26,,
44,3591590986549700.0,02/28,JCB 16 digit,2021-10-27,,
45,2402304101738120.0,02/23,Mastercard,2013-01-04,,
46,3505441583959840.0,09/32,JCB 16 digit,2006-04-30,,
47,6011050584614900.0,11/27,Discover,2020-12-01,,
48,5474744710901440.0,07/31,Mastercard,1996-12-27,,
49,3594682954996870.0,08/24,JCB 16 digit,1994-04-25,,
50,3544280597412630.0,03/30,JCB 16 digit,1996-10-03,,
51,4469949113559190.0,01/31,VISA 16 digit,2017-11-25,,
52,675976311992.0,03/30,Maestro,2004-06-07,,
53,180058410855191.0,08/32,JCB 15 digit,2019-11-30,,
54,676340850905.0,08/26,Maestro,2018-08-04,,
0,4220013336013850.0,11/29,VISA 16 digit,1994-09-01,,
1,639053661786.0,06/23,Maestro,2008-06-27,,
2,3564633851338810.0,02/24,JCB 16 digit,2000-09-01,,
3,630450157726.0,08/23,Maestro,2019-10-18,,
4,502078766933.0,01/24,Maestro,2013-05-27,,
5,3509486473439080.0,07/31,JCB 16 digit,1998-05-25,,
6,6523885800845220.0,04/28,Discover,2007-10-26,,
7,213167489692350.0,04/26,JCB 15 digit,2000-06-13,,
8,4448557375867320.0,02/27,VISA 16 digit,1997-08-11,,
9,3513337758781840.0,12/22,JCB 16 digit,2006-12-05,,
10,4.64630987916127e+18,02/31,VISA 19 digit,2005-02-26,,
11,6525957073234300.0,10/23,Discover,2002-05-28,,
12,4.14830431337707e+18,05/25,VISA 19 digit,1998-12-16,,
13,502055157668.0,01/28,Maestro,1997-11-26,,
14,5228477235151850.0,08/29,Mastercard,1994-11-16,,
15,4756148823560380.0,06/29,VISA 16 digit,1995-03-08,,
16,4449574576369830.0,07/30,VISA 16 digit,2020-10-02,,
17,36067227237804.0,05/24,Diners Club / Carte Blanche,2001-09-19,,
18,6011898044113730.0,12/22,Discover,2004-02-10,,
19,4384368300873540.0,12/26,VISA 16 digit,2006-01-03,,
20,4460276357723210.0,08/26,VISA 16 digit,1995-08-16,,
21,6011496717327490.0,12/25,Discover,2018-08-07,,
22,3570958544951070.0,12/31,JCB 16 digit,2002-03-06,,
23,3582338630005250.0,05/30,JCB 16 digit,2019-06-12,,
24,4918090733969250.0,04/25,VISA 16 digit,2017-05-03,,
25,372910072159254.0,09/30,American Express,1996-11-08,,
26,4142825885052.0,01/29,VISA 13 digit,2012-10-06,,
27,4042397857729200.0,04/25,VISA 16 digit,2020-03-18,,
28,3584024672800320.0,10/32,JCB 16 digit,2020-07-01,,
29,3552396381545980.0,06/27,JCB 16 digit,1999-11-02,,
30,371057400274487.0,08/31,American Express,2011-10-22,,
31,4399668143086.0,03/30,VISA 13 digit,2016-07-20,,
32,2430315595018000.0,10/31,Mastercard,2011-03-02,,
33,502039128959.0,09/24,Maestro,2020-02-11,,
34,5250978159702590.0,02/26,Mastercard,2015-01-22,,
35,4.25079387322589e+18,10/27,VISA 19 digit,1996-03-25,,
36,676102529770.0,11/23,Maestro,2000-02-15,,
37,3585822148520500.0,04/32,JCB 16 digit,2008-09-22,,
38,6565149887140180.0,10/24,Discover,2022-08-10,,
39,3531394303686360.0,06/24,JCB 16 digit,2014-09-20,,
40,4112021701754750.0,01/26,VISA 16 digit,1996-03-14,,
41,4798266457279.0,01/29,VISA 13 digit,2010-12-06,,
42,4.37607101814545e+18,12/27,VISA 19 digit,2013-03-23,,
43,4807060800885450.0,06/27,VISA 16 digit,2010-11-12,,
44,3551892480176750.0,11/32,JCB 16 digit,1998-04-10,,
45,4881836651900460.0,06/29,VISA 16 digit,1994-08-01,,
46,6560322773694370.0,07/28,Discover,2004-09-06,,
47,3509542577486750.0,06/25,JCB 16 digit,1996-11-15,,
48,3527223006219570.0,10/28,JCB 16 digit,2005-10-21,,
49,4778491402480.0,09/23,VISA 13 digit,2017-08-29,,
50,4992990318968800.0,11/26,VISA 16 digit,2000-12-14,,
51,4195690323177770.0,10/24,VISA 16 digit,2018-10-11,,
52,4879364868418510.0,12/31,VISA 16 digit,1996-07-16,,
53,36203990764456.0,11/24,Diners Club / Carte Blanche,2015-08-13,,
54,6011699977802880.0,05/31,Discover,2018-06-08,,
0,4255256184078520.0,12/28,VISA 16 digit,2020-12-11,,
1,30549338918055.0,01/26,Diners Club / Carte Blanche,1993-01-26,,
2,4528527933252070.0,08/32,VISA 16 digit,2009-07-12,,
3,6011175345214370.0,10/28,Discover,2012-05-06,,
4,2716341085852660.0,05/23,Mastercard,1999-05-15,,
5,180068798024534.0,05/29,JCB 15 digit,2002-04-09,,
6,4057380293759.0,04/28,VISA 13 digit,2022-11-10,,
7,6543550264501500.0,01/32,Discover,1996-04-16,,
8,30163856492574.0,03/23,Diners Club / Carte Blanche,1996-10-04,,
9,3537216664039270.0,05/32,JCB 16 digit,2018-09-08,,
10,2239755029497130.0,05/31,Mastercard,2016-01-11,,
11,4455318078827770.0,08/30,VISA 16 digit,2019-01-11,,
12,180040210512560.0,04/27,JCB 15 digit,2020-09-06,,
13,343571238765040.0,05/27,American Express,2008-11-14,,
14,213133126815481.0,11/27,JCB 15 digit,2008-12-11,,
15,2478596423677220.0,11/29,Mastercard,2015-08-29,,
16,6011652694986460.0,03/30,Discover,1996-12-17,,
17,30175330419866.0,08/30,Diners Club / Carte Blanche,2001-05-29,,
18,2384344539414570.0,09/23,Mastercard,2014-02-12,,
19,4.57429132888871e+18,03/31,VISA 19 digit,2022-04-07,,
20,30226033525101.0,01/29,Diners Club / Carte Blanche,2011-11-24,,
21,4843336241438240.0,09/28,VISA 16 digit,1998-05-05,,
22,4754720811949470.0,12/29,VISA 16 digit,2007-04-27,,
23,3534039557891860.0,05/24,JCB 16 digit,2016-08-14,,
24,4410206147743.0,11/22,VISA 13 digit,1994-10-30,,
25,3511992632846910.0,12/25,JCB 16 digit,2017-07-17,,
26,4953143072786900.0,12/22,VISA 16 digit,2017-03-17,,
27,4973685909834.0,02/26,VISA 13 digit,2013-02-26,,
28,3515489953421250.0,02/25,JCB 16 digit,2013-08-12,,
29,6552676399134270.0,05/31,Discover,2010-04-07,,
30,180087457202785.0,08/24,JCB 15 digit,2000-04-13,,
31,30003676497983.0,02/29,Diners Club / Carte Blanche,2001-03-17,,
32,180049432732427.0,04/29,JCB 15 digit,2007-11-12,,
33,4622297557774960.0,09/28,VISA 16 digit,1997-09-11,,
34,4869615259599.0,03/31,VISA 13 digit,1994-03-17,,
35,6557663030337110.0,06/26,Discover,2004-10-28,,
36,371286204682393.0,04/27,American Express,1993-08-23,,
37,5586003885783590.0,04/31,Mastercard,2004-07-21,,
38,3508922970002280.0,04/29,JCB 16 digit,1993-04-24,,
39,4214248522321.0,01/32,VISA 13 digit,2006-04-01,,
40,3523784552277190.0,07/27,JCB 16 digit,2005-08-19,,
41,349777704175572.0,08/28,American Express,1994-05-10,,
42,375927731173325.0,03/30,American Express,2018-06-24,,
43,4060485550834.0,09/25,VISA 13 digit,2000-11-22,,
44,3508064302339420.0,08/29,JCB 16 digit,2005-04-09,,
45,5281712127436840.0,07/27,Mastercard,2001-12-26,,
46,4608461645133.0,11/27,VISA 13 digit,2010-02-09,,
47,3536684305640410.0,01/24,JCB 16 digit,2006-08-29,,
48,36430570495884.0,09/25,Diners Club / Carte Blanche,2012-12-19,,
49,4521190203012090.0,10/29,VISA 16 digit,2008-08-02,,
50,4041150101145.0,07/24,VISA 13 digit,2018-07-27,,
51,30350675094505.0,11/27,Diners Club / Carte Blanche,2001-09-24,,
52,585787028182.0,06/29,Maestro,2002-08-21,,
53,30505765109634.0,08/25,Diners Club / Carte Blanche,1997-10-02,,
54,630496151600.0,02/31,Maestro,2019-10-29,,
0,30535888793394.0,07/32,Diners Club / Carte Blanche,2013-09-21,,
1,4064806653749.0,04/29,VISA 13 digit,2018-05-06,,
2,6011982654011120.0,08/28,Discover,1998-02-20,,
3,2226666455714860.0,11/28,Mastercard,2005-12-29,,
4,180013014202092.0,09/23,JCB 15 digit,1995-01-09,,
5,4270806854196070.0,04/23,VISA 16 digit,1999-10-15,,
6,3508505361552920.0,05/25,JCB 16 digit,1996-03-31,,
7,180055378231365.0,10/26,JCB 15 digit,2006-08-22,,
8,4437869512603720.0,09/25,VISA 16 digit,2019-08-15,,
9,4.0810449146036895e+18,07/24,VISA 19 digit,2022-09-06,,
10,376565443700446.0,05/28,American Express,2002-12-13,,
11,2308981013074680.0,06/30,Mastercard,2018-04-15,,
12,371218054210660.0,09/29,American Express,2016-11-10,,
13,4.639556041980889e+18,12/26,VISA 19 digit,1996-10-30,,
14,2252875267422480.0,10/24,Mastercard,1993-11-10,,
15,4.98528116729002e+18,01/27,VISA 19 digit,2017-03-14,,
16,377627647615272.0,04/24,American Express,2003-07-14,,
17,213104947760784.0,02/27,JCB 15 digit,2003-09-26,,
18,3570296014307760.0,08/32,JCB 16 digit,2017-12-08,,
19,6011855038343090.0,01/23,Discover,2016-05-18,,
20,3588589103840880.0,07/26,JCB 16 digit,1992-12-16,,
21,3588597828317410.0,01/23,JCB 16 digit,1997-04-16,,
22,3553126504056180.0,11/28,JCB 16 digit,2001-06-01,,
23,30564783567505.0,06/27,Diners Club / Carte Blanche,2018-12-05,,
24,2720634764832380.0,02/27,Mastercard,2010-02-24,,
25,4.27623245044486e+18,07/25,VISA 19 digit,2010-10-13,,
26,6011607308277440.0,05/30,Discover,1993-07-17,,
27,4331856967112130.0,11/32,VISA 16 digit,2016-11-06,,
28,4.62312639478247e+18,10/29,VISA 19 digit,2021-04-26,,
29,3526757573667370.0,08/29,JCB 16 digit,2019-10-07,,
30,345868063546083.0,05/31,American Express,2002-08-06,,
31,180033061027705.0,10/27,JCB 15 digit,2013-03-26,,
32,4.26020963918702e+18,06/31,VISA 19 digit,2018-08-22,,
33,4772370447118460.0,10/23,VISA 16 digit,1996-04-30,,
34,4007356983297.0,03/32,VISA 13 digit,2005-07-04,,
35,213117713462781.0,02/28,JCB 15 digit,2001-09-15,,
36,4295778796427.0,02/31,VISA 13 digit,2006-07-12,,
37,348963666610803.0,01/28,American Express,2013-07-12,,
38,4362739583664.0,02/24,VISA 13 digit,2011-09-02,,
39,4403772847165410.0,09/29,VISA 16 digit,2013-10-24,,
40,4.10538920728364e+18,01/32,VISA 19 digit,1992-12-15,,
41,4599113640256500.0,05/30,VISA 16 digit,1993-12-23,,
42,3567978474663170.0,06/29,JCB 16 digit,2009-01-24,,
43,6011967640156280.0,01/32,Discover,2022-11-18,,
44,676392475940.0,06/29,Maestro,2011-06-12,,
45,6589431230204560.0,08/31,Discover,1994-07-30,,
46,36452520930810.0,02/28,Diners Club / Carte Blanche,1995-06-21,,
48,4168038747256640.0,06/30,VISA 16 digit,1995-10-24,,
49,373596541536799.0,02/24,American Express,2003-11-02,,
50,30313916974067.0,03/24,Diners Club / Carte Blanche,1995-09-14,,
51,6500569947413150.0,11/29,Discover,2012-08-19,,
52,30523024601960.0,02/29,Diners Club / Carte Blanche,2020-12-10,,
53,180056746770795.0,01/28,JCB 15 digit,2007-02-09,,
54,4.14168360455261e+18,12/29,VISA 19 digit,2013-12-14,,
0,2293302667552070.0,07/27,Mastercard,1995-12-28,,
1,344880901527283.0,01/27,American Express,2000-05-23,,
2,4.12730449974052e+18,08/25,VISA 19 digit,2019-09-02,,
3,4705388823684.0,09/26,VISA 13 digit,1993-05-01,,
4,503863523463.0,07/31,Maestro,1998-10-31,,
5,4312271503232.0,05/32,VISA 13 digit,2001-09-14,,
6,213135355809051.0,12/25,JCB 15 digit,2001-07-01,,
7,3562219981147900.0,11/29,JCB 16 digit,2015-04-28,,
8,213105203393830.0,08/31,JCB 15 digit,2003-10-30,,
9,3591695996938140.0,03/24,JCB 16 digit,2011-02-10,,
10,4.51017551362991e+18,12/27,VISA 19 digit,1998-05-25,,
11,6554642463867700.0,01/29,Discover,1996-05-18,,
12,4829307419570.0,12/24,VISA 13 digit,2017-08-26,,
13,4.79076999684833e+18,10/27,VISA 19 digit,2004-10-11,,
14,4.03260919777542e+18,02/26,VISA 19 digit,2015-05-24,,
15,345835107861836.0,11/23,American Express,2011-12-11,,
16,30333881297971.0,10/32,Diners Club / Carte Blanche,1999-01-23,,
17,3528870773658970.0,01/24,JCB 16 digit,1997-11-04,,
18,2484103609879090.0,08/31,Mastercard,2008-01-11,,
19,4403572043142100.0,10/29,VISA 16 digit,2021-01-07,,
20,3578962333076840.0,12/29,JCB 16 digit,2022-08-13,,
21,630497074207.0,01/28,Maestro,2014-05-30,,
22,343366895205921.0,01/29,American Express,2014-06-12,,
23,6508493296824750.0,05/25,Discover,2006-09-25,,
24,213190391399658.0,08/24,JCB 15 digit,2000-12-22,,
25,3596700970254140.0,10/29,JCB 16 digit,1996-06-22,,
26,30139767171671.0,08/31,Diners Club / Carte Blanche,2018-06-18,,
27,676169692172.0,04/26,Maestro,2004-09-16,,
28,4029011854697.0,10/27,VISA 13 digit,2019-05-27,,
29,4194053863325050.0,05/24,VISA 16 digit,1998-01-04,,
30,4534672440375750.0,11/27,VISA 16 digit,2019-08-26,,
31,372115384818155.0,09/32,American Express,2011-08-24,,
32,347837147081613.0,08/31,American Express,2008-11-27,,
33,4.53546365057972e+18,05/25,VISA 19 digit,1998-04-07,,
34,3522779015787820.0,03/28,JCB 16 digit,2012-10-11,,
35,3598597514803400.0,12/28,JCB 16 digit,1996-11-22,,
36,3530400736246970.0,09/28,JCB 16 digit,2015-07-29,,
37,4.72383776061757e+18,10/25,VISA 19 digit,1998-12-18,,
38,2656555311231230.0,01/28,Mastercard,1995-04-06,,
39,576674974869.0,04/29,Maestro,2008-06-14,,
40,676386724220.0,12/28,Maestro,2016-09-23,,
41,6011502878617980.0,10/24,Discover,2007-08-05,,
42,676348808525.0,07/31,Maestro,2012-09-22,,
43,4453145527530930.0,02/29,VISA 16 digit,1994-06-26,,
44,4394509436847890.0,05/29,VISA 16 digit,2004-07-15,,
45,675964008584.0,10/28,Maestro,2016-11-22,,
46,4.2104513709093e+18,02/25,VISA 19 digit,2008-11-13,,
47,6011288498942930.0,06/25,Discover,2009-12-13,,
48,3504923300805520.0,11/24,JCB 16 digit,2008-11-09,,
49,585078515517.0,04/26,Maestro,2013-04-21,,
50,4.71107525092808e+18,08/28,VISA 19 digit,2012-03-07,,
51,4131986971266020.0,11/30,VISA 16 digit,2012-07-25,,
52,2534163614130070.0,12/27,Mastercard,2015-11-12,,
53,2407344573766610.0,09/31,Mastercard,2016-07-22,,
54,372882110452076.0,08/29,American Express,2005-12-14,,
0,502039766360.0,04/29,Maestro,2019-12-23,,
1,4367774640063.0,03/23,VISA 13 digit,1999-06-16,,
2,585979209251.0,04/29,Maestro,2017-03-19,,
